speaker	lang	ltype	ave_ttr	se	nmessages
cuchuflete	EEUU-inglés	L2	0.6207954545454546	0.005200645053533775	176
timpeac	English (England)	L1	0.5704945054945056	0.005515022742930103	91
panjandrum	English-Ireland (top end)	L1	0.5436399999999993	0.004408269978888951	375
owlman5	English-US	L1	0.570127118644068	0.004307521969557851	236
JulianStuart	English (UK then US)	L1	0.5934523809523815	0.0039554134547861285	210
PaulQ	English - England	L1	0.5386559679037107	0.0026996533922930416	997
Egmont	English - U.S.	L1	0.5866262135922334	0.003760155460176268	206
dojibear	English - Northeast US	L1	0.5529566563467495	0.0036306948655732713	323
Truffula	English - USA	L1	0.5776730769230771	0.0043864196484175435	260
Loob	English UK	L1	0.5499152542372887	0.006696670402455271	177
Edinburgher	German/English bilingual	L1	0.5612365591397852	0.0033162415574537495	372
ewie	English English	L1	0.6279347826086957	0.012095210142060053	46
entangledbank	English - South-East England	L1	0.5491546391752572	0.002980620574970253	485
boozer	Bulgarian	L2	0.5913103448275862	0.004287059710549637	145
Glenfarclas	English (American)	L1	0.62	0.010354177645230679	28
Thomas Tompion	English - England	L1	0.5685663983903422	0.0024560738269704175	994
Forero	USA English	L1	0.4914636542239685	0.0023864910431132006	1018
MattiasNYC	Swedish	L2	0.5854444444444445	0.005053178159919055	90
Cagey	English - US	L1	0.5734707903780067	0.004134319757162472	291
Delvo	American English	L1	0.598058823529412	0.0055603980103894534	85
SevenDays	Spanish	L2	0.5276773455377571	0.0026680669333347382	437
Copyright	American English	L1	0.598622047244095	0.00493865091813723	254
Alxmrphi	UK English	L1	0.6044923857868021	0.003751270507447109	197
Hermione Golightly	British English	L1	0.6225205930807237	0.0024675367894927557	607
Dimcl	Canadian English	L1	0.5535714285714286	0.009547694139704837	35
LV4-26	France French	L2	0.6060869565217394	0.006156586279469625	69
MissFit	English, U.S.	L1	0.5866666666666666	0.008819171036881977	3
brian	AmE (New Orleans)	L2	0.5523648648648647	0.005439720893435475	148
wandle	English - British	L1	0.5538453815261047	0.0028328968951195823	498
JamesM	English, USA	L1	0.5819366197183097	0.004558514941026569	284
James Brandon	English + French - UK	L1	0.5962393162393167	0.00431282383036735	117
EStjarn	Spanish	L2	0.588177339901478	0.00501479451899915	203
Fabulist	American English	L1	0.5647214854111404	0.0031347470667368034	377
lucas-sp	English - Californian	L1	0.5880803571428578	0.003547621041335187	336
Matching Mole	England, English	L1	0.5569230769230767	0.006087528913486491	104
cycloneviv	English - Australia	L1	0.5820270270270271	0.010172054877465019	37
MilkyBarKid	British English	L1	0.5546428571428573	0.007360378391633627	70
Cypherpunk	US, English	L1	0.5673684210526315	0.013019151553439929	19
AngelEyes	English - United States	L1	0.6182380952380951	0.004669469144309274	105
Dale Texas	English USA	L1	0.6002343750000002	0.004923398011455876	128
mjscott	American English	L1	0.6021052631578947	0.017075322424129086	19
sandpiperlily	English -- USA	L1	0.5613636363636364	0.01716353043110607	11
Æsop	English--American (upstate NY)	L1	0.5776470588235294	0.007267106851000084	51
Waylink	English (British)	L1	0.5629487179487178	0.011143642470063615	39
kitenok	English - US	L1	0.5808695652173913	0.012450106647133764	23
Prairiefire	US (Midwest) - English	L1	0.5770833333333334	0.01380955879604465	12
watercanyon	USA/English	L1	0.5461111111111111	0.016175637068378514	9
Jim2996	American English	L1	0.5901851851851853	0.010072675661278561	27
