speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
TheCrociato91	Italian - Northern Italy	L2	0.59	0.0	1.0	to_L1
TheCrociato91	Italian - Northern Italy	L2	0.61	0.0	1.0	to_L2
Necsus	Italian (Italy)	L2	0.6950000000000001	0.03499999999999997	2.0	to_L1
Necsus	Italian (Italy)	L2	0.6375	0.052499999999999984	2.0	to_L2
SunDraw	Veneto (Italia)	L1	0.7233333333333333	0.026193722742502843	3.0	to_L1
SunDraw	Veneto (Italia)	L1	0.63	0.0	1.0	to_L2
zipp404	Bilingual English|Español	L1	0.64	0.020000000000000018	2.0	to_L1
zipp404	Bilingual English|Español	L1	0.5766666666666667	0.030867098629086893	3.0	to_L2
MünchnerFax	Italian, Italy	L1	0.69	0.0	1.0	to_L1
MünchnerFax	Italian, Italy	L1	0.69	0.0	1.0	to_L2
dragonseven	italiano	L1	0.6216666666666667	0.026193722742502878	3.0	to_L1
dragonseven	italiano	L1	0.705	0.0	1.0	to_L2
Connie Eyeland	Italiano	L1	0.68	0.0	1.0	to_L1
Connie Eyeland	Italiano	L1	0.6154545454545454	0.021757491347856858	11.0	to_L2
Hermocrates	Italian & British English (bilingual)	L1	0.68	0.0	1.0	to_L1
Hermocrates	Italian & British English (bilingual)	L1	0.6616666666666667	0.01763834207376392	3.0	to_L2
Agró	Spanish-Navarre	L1	0.6131250000000001	0.01373009923489266	16.0	to_L1
Agró	Spanish-Navarre	L1	0.603	0.01786057109949175	5.0	to_L2
itka	français	L1	0.635	0.0	1.0	to_L1
itka	français	L1	0.655	0.0	1.0	to_L2
violadaprile	italian	L1	0.665	0.0	1.0	to_L1
violadaprile	italian	L1	0.6399999999999999	0.06	2.0	to_L2
Elxenc	català/valencià	L2	0.6675	0.03249999999999997	2.0	to_L1
Elxenc	català/valencià	L2	0.625	0.02291287847477922	3.0	to_L2
Adolfo Afogutu	Español	L1	0.62	0.0	1.0	to_L1
Adolfo Afogutu	Español	L1	0.6	0.025658007197234444	3.0	to_L2
Pinairun	Castellano	L1	0.605	0.03561366778827103	6.0	to_L1
Pinairun	Castellano	L1	0.5275000000000001	0.039817291051334296	4.0	to_L2
Pixidio	Español	L1	0.535	0.0	1.0	to_L1
Pixidio	Español	L1	0.5650000000000001	0.01746424919657297	5.0	to_L2
esteban	Colombia Spanish	L1	0.625	0.0	1.0	to_L1
esteban	Colombia Spanish	L1	0.515	0.0	1.0	to_L2
SergueiL	Français	L1	0.595	0.0	1.0	to_L1
SergueiL	Français	L1	0.6174999999999999	0.027500000000000024	2.0	to_L2
Lacuzon	French - France	L1	0.505	0.0	1.0	to_L1
Lacuzon	French - France	L1	0.4775	0.007500000000000006	2.0	to_L2
tilt	French French	L1	0.65	0.025000000000000022	2.0	to_L1
tilt	French French	L1	0.52	0.025000000000000022	2.0	to_L2
plantin	français	L1	0.725	0.0	1.0	to_L1
plantin	français	L1	0.6777272727272726	0.012123673992415835	11.0	to_L2
Gwynplaine	French	L1	0.525	0.0	1.0	to_L1
Gwynplaine	French	L1	0.645	0.0	1.0	to_L2
quinoa	french	L1	0.54	0.0	1.0	to_L1
quinoa	french	L1	0.62	0.07499999999999996	2.0	to_L2
chics	Catalan - Spanish	L1	0.645	0.0	1.0	to_L1
chics	Catalan - Spanish	L1	0.67	0.0	1.0	to_L2
swift	Spanish – Costa Rica (Valle Central)	L1	0.67	0.017818529681205453	5.0	to_L1
swift	Spanish – Costa Rica (Valle Central)	L1	0.5599999999999999	0.050744457825461095	3.0	to_L2
jann	English - USA	L2	0.62	0.0	1.0	to_L1
jann	English - USA	L2	0.4575	0.012499999999999982	2.0	to_L2
Víctor Pérez	Español peninsular Français	L1	0.67	0.0	1.0	to_L1
Víctor Pérez	Español peninsular Français	L1	0.61	0.0	1.0	to_L2
Zampaglione	Français	L1	0.495	0.0	1.0	to_L1
Zampaglione	Français	L1	0.565	0.0	1.0	to_L2
Namarne	Spanish	L1	0.635	0.0	1.0	to_L1
Namarne	Spanish	L1	0.5675	0.04249999999999998	2.0	to_L2
Gamen	Spanish Argentina	L1	0.5449999999999999	0.075	2.0	to_L1
Gamen	Spanish Argentina	L1	0.5766666666666667	0.02088327347690276	3.0	to_L2
Calambur	Castellano (rioplatense) - Lunfardo	L1	0.6033333333333334	0.021666666666666685	3.0	to_L1
Calambur	Castellano (rioplatense) - Lunfardo	L1	0.6174999999999999	0.047500000000000035	2.0	to_L2
Miguel On Ojj	Castellano	L1	0.6214285714285713	0.010949792654825645	7.0	to_L1
