speaker	lang	ltype	ave_ttr	se	nmessages
TheCrociato91	Italian - Northern Italy	L2	0.6033333333333333	0.01733508149692555	12
Necsus	Italian (Italy)	L2	0.6701388888888887	0.005960982202208422	108
SunDraw	Veneto (Italia)	L2	0.7058490566037738	0.006457571698919809	106
zipp404	Bilingual English|Español	L1	0.6286718750000002	0.010337941913154283	64
MünchnerFax	Italian, Italy	L1	0.6783333333333331	0.011354363417975086	18
dragonseven	italiano	L1	0.6709852216748767	0.004501304377942907	203
Giorgio Spizzi	Italian	L2	0.6030000000000003	0.008265211763179216	85
Connie Eyeland	Italiano	L2	0.655802919708029	0.005260555842209625	137
Hermocrates	Italian & British English (bilingual)	L1	0.6500000000000001	0.007825431217343472	45
Agró	Spanish-Navarre	L2	0.6165454545454547	0.007945386742809118	55
itka	français	L2	0.6208461538461539	0.00847477112151887	65
violadaprile	italian	L1	0.6729411764705882	0.00622612674441046	68
Alxmrphi	UK English	L1	0.6048284313725493	0.0037288927375886	204
brian	AmE (New Orleans)	L2	0.5529194630872482	0.005431478050797954	149
Elxenc	català/valencià	L2	0.6455607476635513	0.004371707695303767	107
Adolfo Afogutu	Español	L2	0.6368750000000001	0.008230819778780802	40
Pinairun	Castellano	L2	0.5915934065934066	0.0070203259410046865	91
Forero	USA English	L1	0.49145445641527913	0.0023814612120274833	1021
Pixidio	Español	L1	0.6064864864864862	0.00580100858225188	74
esteban	Colombia Spanish	L2	0.6342857142857142	0.022265405887154352	7
SergueiL	Français	L2	0.6086111111111111	0.0150641631810625	18
Lacuzon	French - France	L2	0.5414999999999999	0.030505463991444763	10
tilt	French French	L2	0.6260526315789473	0.017280701754385962	19
plantin	français	L1	0.6690322580645159	0.004844627828517384	93
Gwynplaine	French	L1	0.5472727272727272	0.016409027952535987	11
quinoa	french	L2	0.6016666666666666	0.020069324297987152	9
timpeac	English (England)	L1	0.5704838709677421	0.0053979463157812655	93
LV4-26	France French	L2	0.6116176470588235	0.005458123953107633	102
chics	Catalan - Spanish	L1	0.6289463622460126	0.003944106762882171	92
swift	Spanish – Costa Rica (Valle Central)	L2	0.6303073236553137	0.004982505664939716	108
Thomas Tompion	English - England	L1	0.5685663983903422	0.0024560738269704175	994
jann	English - USA	L1	0.562	0.0236314291663548	10
Víctor Pérez	Español peninsular Français	L2	0.6251923076923076	0.01345213957597815	26
Zampaglione	Français	L1	0.5166666666666666	0.024209731743889903	3
Namarne	Spanish	L2	0.6007142857142858	0.010765445623207989	14
wandle	English - British	L1	0.5538453815261047	0.0028328968951195823	498
James Brandon	English + French - UK	L1	0.5967372881355936	0.004305016091394798	118
Gamen	Spanish Argentina	L2	0.5499328859060402	0.006241443730955468	149
lucas-sp	English - Californian	L1	0.5880803571428578	0.003547621041335187	336
Loob	English UK	L1	0.5499152542372887	0.006696670402455271	177
Calambur	Castellano (rioplatense) - Lunfardo	L1	0.6325663716814159	0.004751702670849124	113
Miguel On Ojj	Castellano	L1	0.5947321428571428	0.00866158450575172	56
Jonno	Castellano	L1	0.6055339805825244	0.004827557789180522	103
oa2169	Español	L1	0.6236666666666665	0.013250935875903314	15
Aviador	Castellano de Chile	L1	0.5749999999999996	0.005099275160454422	162
soplamocos	Español rioplatense	L1	0.5970000000000001	0.012770408502993682	25
ukimix	español	L2	0.5761301369863014	0.005355516350467585	146
aldonzalorenzo	Spanish	L2	0.6395833333333334	0.010668175792865196	12
ACQM	Spain - Spanish	L2	0.5785714285714286	0.00846566239010002	56
S.V.	Español, México	L2	0.6052873563218392	0.007972971382531143	87
Rayines	Castellano/Argentina	L2	0.6434615384615385	0.008830755829526147	26
Xiscomx	Español de España y Balear	L2	0.6187201365187714	0.004201582084149709	293
ToñoTorreón	Español de México	L1	0.6058064516129035	0.006625761453228624	93
kunvla	Ruso	L2	0.6223863636363636	0.005356929870001636	132
Lurrezko	Spanish (Spain) / Catalan	L2	0.6255357142857142	0.013331694556319848	28
Realice	Spanish - Spain	L1	0.6017441860465116	0.008200295285668367	43
clares3	español España	L1	0.6153125000000002	0.006347869017247174	80
XiaoRoel	galego, español	L1	0.6000442477876103	0.0026180121792605286	452
juandiego	Spanish from Spain	L2	0.5940000000000002	0.0038914897616138216	190
jilar	Español	L2	0.6097333333333333	0.004018076233033269	150
PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	0.6421774193548386	0.005806938181035261	62
diegodbs	Spain-Spanish	L2	0.5800000000000001	0.020089087300607475	7
Jay Lang	Spanish (from Spain)	L1	0.615	0.040000000000000036	2
Peterdg	Dutch - Belgium	L2	0.5514772727272729	0.008045818095965464	44
Quique Alfaro	castellano	L2	0.6002380952380951	0.010592428734018501	21
Sibutlasi	Spanish-Spain	L2	0.5923796791443849	0.004128757021919683	187
RaulCavazos	Mexican Spanish	L1	0.553	0.01678623774935223	10
Bloodsun	Castellano - Argentina	L2	0.5996000000000001	0.005365690135539941	75
aleCcowaN	Castellano - Argentina	L1	0.6213858695652178	0.002575700824265574	368
Rasp	Castellano de España	L1	0.6062500000000001	0.010231690964840563	16
Mate	Castellano - Argentina	L2	0.6631250000000001	0.011837346318205908	8
