speaker	lang	ltype	ave_ttr	se	nmessages
Necsus	Italian (Italy)	L2	0.6701388888888887	0.005960982202208422	108
SunDraw	Veneto (Italia)	L1	0.7058490566037738	0.006457571698919809	106
zipp404	Bilingual English|Español	L2	0.6306451612903227	0.010576634714790319	62
MünchnerFax	Italian, Italy	L1	0.6785294117647056	0.012041325180839795	17
dragonseven	italiano	L1	0.6709852216748767	0.004501304377942907	203
Connie Eyeland	Italiano	L1	0.6561397058823527	0.005288508246801114	136
Hermocrates	Italian & British English (bilingual)	L1	0.651279069767442	0.007950380837489762	43
itka	français	L1	0.6208461538461539	0.00847477112151887	65
violadaprile	italian	L1	0.6729411764705882	0.00622612674441046	68
SergueiL	Français	L1	0.6086111111111111	0.0150641631810625	18
Lacuzon	French - France	L1	0.5422222222222222	0.034096585760070276	9
tilt	French French	L1	0.6260526315789473	0.017280701754385962	19
plantin	français	L1	0.6690322580645159	0.004844627828517384	93
Gwynplaine	French	L1	0.5472727272727272	0.016409027952535987	11
quinoa	french	L1	0.6016666666666666	0.020069324297987152	9
jann	English - USA	L2	0.5607142857142857	0.03259470763768859	7
Zampaglione	Français	L1	0.5166666666666666	0.024209731743889903	3
