message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post12423393	0.75	Paulfromitaly	Italian	L1	post12423392	Paulfromitaly	Italian	L1
post18053070	0.66	symposium	Italian - Italy	L1	post18053049	francisgranada	Hungarian	L2
post17973351	0.71	Francesco94	Italian	L1	post17972608	mimimarie	Japanese	L2
post18040990	0.73	TheCrociato91	Italian - Northern Italy	L1	post18040968	bearded	Italian	L1
post18036436	0.73	bearded	Italian	L1	post18036404	elenasusu	chinese	L2
post17989399	0.77	AmoImparare	Italiano	L1	post17989380	eduarodi	castellano de Argentina	L2
post18017468	0.77	bearded	Italian	L1	post18016792	francisgranada	Hungarian	L2
post18018501	0.63	TheCrociato91	Italian - Northern Italy	L1	post18018488	keramus	Persian	L2
post17972502	0.62	Francesco94	Italian	L1	post17971980	francisgranada	Hungarian	L2
post17929093	0.79	ohbice	italiano	L1	post17928565	toshiki_I	japanese	L2
post17940829	0.74	dragonseven	italiano	L1	post17940690	Obolensky	swedish - Sweden	L2
post17865537	0.62	dragonseven	italiano	L1	post17865380	jujee	English - United States	L2
post6159356	0.7	Hermocrates	Italian & British English (bilingual)	L1	post6159209	Donsez	Swedish, Finland	L2
post9991214	0.77	rsb	Italy, Italian	L1	post8099339	Linnets	italiano	L1
post17872563	0.69	francisgranada	Hungarian	L2	post17872225	LETUSHUZI	汉语	L2
post17866494	0.75	bearded	Italian	L1	post17866120	dragonseven	italiano	L1
post17867209	0.68	ohbice	italiano	L1	post17867125	Lisa Lea Lenhard	German	L2
post17810006	0.83	dragonseven	italiano	L1	post17809617	RD74	English - USA	L2
post17808014	0.79	bearded	Italian	L1	post17807797	saquiwej	Hongrois	L2
post826199	0.78	victoria luz	italy	L1	post826107	ics	greek/greece	L2
post17736560	0.8	TheCrociato91	Italian - Northern Italy	L1	post17736488	bearded	Italian	L1
post17719770	0.77	bearded	Italian	L1	post17719348	Rodrián Buenosaires	Español rioplatense, Lunfardo	L2
post17725322	0.81	palomamapola	Italian	L1	post17724992	GabrielH	Portuguese - Brazil	L2
post17722307	0.89	magosil79	italian	L1	post17721295	Rodrián Buenosaires	Español rioplatense, Lunfardo	L2
post17683268	0.63	GabrielH	Portuguese - Brazil	L2	post17683200	LETUSHUZI	汉语	L2
post4246013	0.8	la italianilla	Italia	L1	post4243977	tie-break	Italy	L1
post17669618	0.8	bearded	Italian	L1	post17669426	GabrielH	Portuguese - Brazil	L2
post17658098	0.81	TheCrociato91	Italian - Northern Italy	L1	post17658076	jedna	Dutch	L2
post17656582	0.79	bearded	Italian	L1	post17656285	romolasgarai	English - UK	L2
post15557195	0.79	francisgranada	Hungarian	L2	post15556433	bearded	Italian	L1
post15600053	0.72	frugnaglio	Italian	L1	post15599962	Nino83	Italian	L1
post17559145	0.67	bearded	Italian	L1	post17558906	romix69	Spanish	L2
post5499822	0.76	saltapicchio	Italia (Roma) - Italiano	L1	post5499541	Paulfromitaly	Italian	L1
post3409920	0.73	DavìdV	Italia	L1	post3409764	laratri	Italian	L1
post17419858	0.77	poincaré	italiano	L1	post17419475	wuxiaofei	chinese	L2
post2478021	0.81	MünchnerFax	Italian, Italy	L1	post2477593	sambistapt	Brazilian Portuguese	L2
post17400298	0.75	bearded	Italian	L1	post17400200	ShokoT	giapponese	L2
post17368732	0.71	bearded	Italian	L1	post17368639	JuhanaCicogna	Finnish	L2
post17327222	0.67	Pietruzzo	Italian	L1	post17326534	Catie McPhee	English	L2
post17386284	0.76	bearded	Italian	L1	post17386202	Govinda80	italian	L1
post17364953	0.59	symposium	Italian - Italy	L1	post17364446	Mark33333	Polish	L2
post17256491	0.74	bearded	Italian	L1	post17255841	GabrielH	Portuguese - Brazil	L2
post17247312	0.71	francisgranada	Hungarian	L2	post17247277	John91	Hungarian	L2
post17214298	0.77	bearded	Italian	L1	post17214245	Aubrey1	Italian (venetian)	L1
post17202707	0.71	bearded	Italian	L1	post17202678	reginof	Italian	L1
post13234500	0.75	hakdz	Italian	L1	post13229990	toysintheattic	Italiano	L1
post17182401	0.7	bearded	Italian	L1	post17182376	Aliky	greco,italiano (bilingue)	L1
post17147408	0.63	bearded	Italian	L1	post17147362	reginof	Italian	L1
post17126472	0.72	bearded	Italian	L1	post17125887	GabrielH	Portuguese - Brazil	L2
post17116583	0.73	dragonseven	italiano	L1	post17116099	leev8	italiano	L1
post17088743	0.76	dragonseven	italiano	L1	post17088471	jomla	Italiano	L1
post17090225	0.8	bearded	Italian	L1	post17090103	Rita A.	Fiammingo	L2
post17075259	0.78	bo-marco	Italiano Italia - Emiliano Mirandola	L1	post17074599	francisgranada	Hungarian	L2
post16963070	0.77	bearded	Italian	L1	post16962652	keramus	Persian	L2
post17021266	0.51	Paulfromitaly	Italian	L1	post17021198	manbrasil	Spanish - Spain	L2
post16931591	0.64	dragonseven	italiano	L1	post16931483	GabrielH	Portuguese - Brazil	L2
