speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
Paulfromitaly	Italian	L1	0.665	0.07729812416870152	4.0	to_L1
Paulfromitaly	Italian	L1	0.665	0.15499999999999994	2.0	to_L2
Angel.Aura	Italian	L1	0.75	0.0	1.0	to_L1
Angel.Aura	Italian	L1	0.785	0.015000000000000012	2.0	to_L2
francisgranada	Hungarian	L2	0.7866666666666666	0.027162065049951147	6.0	to_L1
francisgranada	Hungarian	L2	0.7233333333333333	0.024037008503093284	3.0	to_L2
Passante	italian	L1	0.74	0.10999999999999997	2.0	to_L1
Passante	italian	L1	0.755	0.04500000000000005	2.0	to_L2
bearded	Italian	L2	0.7406666666666667	0.0213912903207661	15.0	to_L1
bearded	Italian	L2	0.7491666666666666	0.008118610456771057	24.0	to_L2
TheCrociato91	Italian - Northern Italy	L2	0.7466666666666667	0.027284509239574855	3.0	to_L1
TheCrociato91	Italian - Northern Italy	L2	0.7228571428571428	0.028511842628424204	7.0	to_L2
Necsus	Italian (Italy)	L2	0.7686206896551725	0.01024002744390751	29.0	to_L1
Necsus	Italian (Italy)	L2	0.7555172413793103	0.012182784903464264	29.0	to_L2
giginho	Italiano & Piemontese	L1	0.765	0.015000000000000012	2.0	to_L1
giginho	Italiano & Piemontese	L1	0.6566666666666666	0.01626174789020063	6.0	to_L2
ohbice	italiano	L1	0.7625000000000001	0.016007810593582136	4.0	to_L1
ohbice	italiano	L1	0.7024999999999999	0.02085237225285	8.0	to_L2
xeneize	Italian	L2	0.6666666666666666	0.05696002496878356	3.0	to_L1
xeneize	Italian	L2	0.7350000000000001	0.06499999999999999	2.0	to_L2
sabrinita85	Italian	L2	0.7666666666666666	0.04371625682867999	3.0	to_L1
sabrinita85	Italian	L2	0.7080000000000001	0.024779023386727737	5.0	to_L2
SunDraw	Veneto (Italia)	L1	0.7785714285714286	0.017103128567683784	7.0	to_L1
SunDraw	Veneto (Italia)	L1	0.758	0.021540659228538036	5.0	to_L2
zipp404	Bilingual English|Español	L1	0.72	0.030158312444893354	7.0	to_L1
zipp404	Bilingual English|Español	L1	0.6849999999999999	0.020374245755607492	14.0	to_L2
MünchnerFax	Italian, Italy	L1	0.7233333333333333	0.08337332373793858	6.0	to_L1
MünchnerFax	Italian, Italy	L1	0.776	0.026570660511172836	5.0	to_L2
irene.acler	Italiano	L2	0.81	0.0	1.0	to_L1
irene.acler	Italiano	L2	0.7366666666666667	0.03844187531556932	3.0	to_L2
stella_maris_74	Italian - Italy	L1	0.7544444444444445	0.021220476949760314	9.0	to_L1
stella_maris_74	Italian - Italy	L1	0.7975	0.016520189667999157	4.0	to_L2
vega3131	Italian	L2	0.72	0.0	1.0	to_L1
vega3131	Italian	L2	0.65	0.0	1.0	to_L2
annapo	Italian	L2	0.635	0.06499999999999999	2.0	to_L1
